"Fecha";"Puntos"
"2017-12-18 00:00:00";59,585
"2017-12-19 00:00:00";43,039
"2017-12-20 00:00:00";44,926
"2017-12-21 00:00:00";41,256
"2017-12-22 00:00:00";36,844
"2017-12-23 00:00:00";28,955
"2017-12-24 00:00:00";26,113
"2017-12-25 00:00:00";28,433
"2017-12-26 00:00:00";32,687
"2017-12-27 00:00:00";35,689
"2017-12-28 00:00:00";33,656
"2017-12-29 00:00:00";34,559
"2017-12-30 00:00:00";29,197
"2017-12-31 00:00:00";26,495
"2018-01-01 00:00:00";28,291
"2018-01-02 00:00:00";35,472
"2018-01-03 00:00:00";38,363
"2018-01-04 00:00:00";41,645
"2018-01-05 00:00:00";40,268
"2018-01-06 00:00:00";32,846
"2018-01-07 00:00:00";33,56
"2018-01-08 00:00:00";39,327
"2018-01-09 00:00:00";42,947
"2018-01-10 00:00:00";44,179
"2018-01-11 00:00:00";41,938
"2018-01-12 00:00:00";40,964
"2018-01-13 00:00:00";32,176
"2018-01-14 00:00:00";28,915
"2018-01-15 00:00:00";37,077
"2018-01-16 00:00:00";41,477
"2018-01-17 00:00:00";41,84
